,X.2,X.1,X,AA,file,label,Duration,F1.5,F2.5,F3.5,F4.5,F5.5,F1.10,F2.10,F3.10,F4.10,F5.10,F1.15,F2.15,F3.15,F4.15,F5.15,F1.20,F2.20,F3.20,F4.20,F5.20,F1.25,F2.25,F3.25,F4.25,F5.25,F1.30,F2.30,F3.30,F4.30,F5.30,F1.35,F2.35,F3.35,F4.35,F5.35,F1.40,F2.40,F3.40,F4.40,F5.40,F1.45,F2.45,F3.45,F4.45,F5.45,F1.50,F2.50,F3.50,F4.50,F5.50,F1.55,F2.55,F3.55,F4.55,F5.55,F1.60,F2.60,F3.60,F4.60,F5.60,F1.65,F2.65,F3.65,F4.65,F5.65,F1.70,F2.70,F3.70,F4.70,F5.70,F1.75,F2.75,F3.75,F4.75,F5.75,F1.80,F2.80,F3.80,F4.80,F5.80,F1.85,F2.85,F3.85,F4.85,F5.85,F1.90,F2.90,F3.90,F4.90,F5.90,F1.95,F2.95,F3.95,F4.95,F5.95,X2,aa,file.1,label.1,duration,f0_min,f0_mean,f0_max,int_min,int_mean,int_max,F1,F2,F3,Keyword,Speaker,Variety,Segment,Selection,Position,Stress
1,1,1,1,1,lasa1_02_03_2014_alexandra_1_217,l,0.103075851,462.9560294,1621.701238,2974.761385,3094.830543,3094.830543,495.7159343,1738.396194,3105.424932,4102.091162,NA,476.9465324,1721.99302,3018.2918,3430.513395,4274.470088,464.2984653,1711.277666,2859.388479,2975.642535,4274.028007,465.8881695,1713.791759,2533.553015,3024.815894,4272.557677,465.7925177,1690.790895,2404.457809,3071.747201,4276.784377,462.7052177,1622.49884,2624.593068,3114.69868,4291.123784,461.2018342,1592.197296,2805.323105,3138.116601,4290.963741,461.8854875,1614.352209,2931.643285,3134.563016,4270.783176,462.9560294,1621.701238,2974.761385,3094.830543,4261.099665,464.4461842,1612.992047,2927.639871,3015.85904,4262.801087,465.7935978,1602.13126,2925.502377,3089.826436,4224.420282,467.0191197,1589.433152,2961.778285,3294.39362,4151.811887,467.9786281,1570.319098,2969.607441,3412.190963,4120.996798,468.7601096,1546.911232,2958.39887,3471.918384,4118.151498,469.2574972,1524.327394,2928.732197,3490.929028,4181.240471,469.6077206,1502.170414,2889.503994,3488.847867,4278.48423,480.1194589,1502.393391,2916.670175,3518.438732,4181.025409,494.6135944,1511.387292,2969.856967,3518.438732,4181.025409,7686,1,lasa1_02_03_2014_alexandra_1_217,l,103,153,157,158,52,54,54,488,1625,2861,lasa1,s1,AG,l,l,Initial,Unstressed
2,2,5,5,5,lasa1_02_03_2014_alexandra_1_40,l,0.120918287,427.8528687,1637.478983,3054.324594,3866.841883,3866.841883,466.2359573,1708.842706,2787.986654,3496.769004,4233.974862,417.8832887,1614.438037,2655.474679,3081.970766,4254.335211,419.5879561,1467.360745,2792.753533,3082.082421,4303.155164,423.3084991,1568.876704,2952.413799,3645.65805,4314.723531,426.9073349,1725.571394,3100.521788,4251.231392,NA,424.3959101,1702.31519,3097.430207,3770.092615,4299.551898,423.932289,1686.859154,3091.191908,3711.089417,4299.551898,425.9213228,1680.745382,3081.184784,4157.678096,NA,427.8528687,1637.478983,3054.324594,3866.841883,NA,428.5104303,1590.66401,3016.444402,3459.281084,4289.380423,421.8584045,1576.81338,2938.912892,3437.406709,4286.702174,422.2059909,1548.197452,2903.36386,3392.090635,4310.148274,429.7521778,1504.396472,2910.990804,3322.66645,4360.461396,444.4663123,1481.838442,2938.176676,3339.611474,4452.551261,459.6596781,1472.347374,2962.36014,3447.431308,4534.141641,470.9031806,1502.468016,2956.77479,3882.625612,NA,515.801042,1558.149784,2974.837359,4225.616985,NA,590.4280654,1636.411416,3013.789728,4225.616985,NA,7692,5,lasa1_02_03_2014_alexandra_1_40,l,121,181,206,223,53,55,57,465,1634,2998,lasa1,s1,AG,l,l,Initial,Unstressed
41,41,161,161,161,lasa_02_03_2014_alexandra_1_196,l,0.11891524,463.9912667,1678.393097,3083.604604,3544.496796,3544.496796,456.3784888,1709.522215,3026.946772,4212.333866,NA,457.2001923,1715.827929,2993.452063,4185.368128,NA,458.7947436,1728.474362,2978.489748,4097.269678,NA,461.3706539,1749.172215,2987.059791,3931.545165,NA,463.810209,1755.238877,3034.89607,3852.946586,NA,465.947859,1754.081805,3090.122,3790.276571,NA,464.9788891,1722.039454,3084.079252,3586.037278,NA,464.2789847,1695.783859,3081.32391,3485.690027,NA,463.9912667,1678.393097,3083.604604,3544.496796,NA,461.5562461,1672.799785,3094.345856,3601.855857,NA,458.5778878,1672.416596,3108.54093,3659.387926,NA,465.5500075,1686.41402,3124.278192,3740.365824,NA,471.9386229,1682.855794,3118.594975,3898.406111,NA,477.2404707,1646.600451,3073.016465,4199.973852,NA,483.6741113,1611.689279,3048.668007,4310.293232,NA,490.6715878,1577.447745,3034.895929,4325.336585,NA,522.0659437,1594.840462,3020.539618,4612.498305,NA,567.1275401,1619.716153,3024.87348,4612.498305,NA,7926,161,lasa_02_03_2014_alexandra_1_196,l,119,154,168,185,52,54,56,483,1686,3058,lasa,s1,AG,l,l,Initial,Stressed
42,42,165,165,165,lasa_02_03_2014_alexandra_1_20,l,0.128435623,467.6103521,1650.587109,3017.827518,4142.363594,4142.363594,455.9463959,1677.373999,2492.974269,3078.260242,4203.717216,457.4898221,1669.313386,2573.611211,3027.959641,4224.647557,457.8793121,1662.759071,2735.417129,3090.553374,4189.289018,456.7399595,1684.601814,2991.529126,3387.580487,4026.943993,458.8665758,1649.228045,2931.42756,3258.100678,4076.950245,461.7814463,1595.659881,2781.581561,3065.282553,4164.917684,464.2903792,1534.14678,2624.941464,3061.452594,4180.855625,466.2166962,1571.557335,2761.618417,3525.328508,4186.141505,467.6103521,1650.587109,3017.827518,4142.363594,NA,467.0562974,1669.879986,3065.943521,4128.173623,NA,460.6161828,1676.579729,3092.166895,4152.620572,NA,449.436424,1673.139077,3100.761624,4208.179208,NA,449.7481555,1684.346553,2199.499286,3508.570149,4219.234666,447.9448114,1664.531437,2082.880179,3451.244124,4219.234666,443.396724,1605.098988,2970.53381,4216.025851,NA,445.6792182,1571.76328,2980.110454,4322.316983,NA,454.8474823,1547.818757,2906.816063,4250.241209,NA,476.4171194,1536.143562,2904.538344,4250.241209,NA,7932,165,lasa_02_03_2014_alexandra_1_20,l,128,155,169,193,52,54,56,465,1589,2784,lasa,s1,AG,l,l,Initial,Stressed
81,81,321,321,321,lisa1_02_03_2014_alexandra_1_258,l,0.105647324,404.4098384,1586.481365,2887.485818,3379.674923,3379.674923,462.696187,1710.096022,2852.115581,4245.369354,NA,454.35392,1699.330895,2830.861145,4238.81173,NA,447.8103053,1643.812,2830.629269,3774.782424,NA,442.2403812,1564.065896,2841.77784,3063.103331,4255.075825,431.607695,1553.329322,2855.992353,2970.12455,4273.694623,419.338277,1564.902722,2871.19805,3077.164352,4298.332661,415.0766078,1577.916417,2881.108149,3252.5583,4261.48872,412.0904361,1591.159526,2890.17475,3438.839895,4214.85175,404.4098384,1586.481365,2887.485818,3379.674923,4213.356927,396.8880868,1579.083129,2884.764337,3328.359724,4209.886539,393.0702486,1545.622472,2886.117316,3465.198135,4165.383566,388.9059197,1522.036757,2884.052011,3616.178318,4125.268977,383.1980894,1542.440635,2866.759381,3830.155421,4104.703191,377.1654471,1538.743914,2855.925129,3999.95897,4102.531799,370.3384946,1476.110473,2860.884491,4061.738471,4145.342906,366.777961,1468.058352,2863.537733,4026.391086,4150.632134,368.1757152,1542.858398,2862.690379,3881.401419,4073.340572,383.9591492,1695.981307,2868.58191,3881.401419,4073.340572,8166,321,lisa1_02_03_2014_alexandra_1_258,l,106,152,155,160,49,51,53,424,1639,2867,lisa1,s1,AG,l,l,Initial,Unstressed
82,82,325,325,325,lisa1_02_03_2014_alexandra_1_82,l,0.121932554,404.3603504,1750.761833,3006.239548,4109.972739,4109.972739,482.6753194,1729.598692,3018.84006,4222.698963,NA,464.6810833,1793.0124,2993.855459,4233.885769,NA,447.2826441,1819.118771,2976.265036,4260.725141,NA,430.8757563,1783.136638,2970.980326,4313.614198,NA,420.3848778,1768.002437,2974.8007,4278.995825,NA,412.6648861,1761.231589,2982.234973,4215.067028,NA,411.0425769,1762.575441,2992.843927,4172.37694,NA,408.3459463,1759.387342,3001.00826,4136.867305,NA,404.3603504,1750.761833,3006.239548,4109.972739,NA,400.6235385,1722.795409,2999.810848,3895.982592,NA,396.861562,1689.751592,2998.588368,3696.378891,NA,392.7110967,1653.539549,3034.677958,3767.403817,NA,388.1876167,1635.020632,3071.369967,3793.599253,NA,383.3384059,1631.952043,3108.588031,3780.647828,NA,371.5042229,1598.386937,3101.828622,3782.950272,NA,361.9615308,1619.185801,3107.332133,3894.594571,NA,361.6244715,1810.920284,3164.415301,3975.11856,NA,380.4261116,1836.432396,2726.20513,3975.11856,NA,8172,325,lisa1_02_03_2014_alexandra_1_82,l,122,209,213,217,53,55,56,425,1764,3014,lisa1,s1,AG,l,l,Initial,Unstressed
120,120,477,477,477,lisa_02_03_2014_alexandra_1_238,l,0.118267688,438.2613798,1715.26922,2789.429858,4024.960368,4024.960368,428.3579431,1705.912167,2962.173748,3692.498195,NA,427.6210093,1719.062261,2940.390451,3615.230145,NA,433.523569,1736.002258,2911.352631,3800.865826,NA,437.5393529,1726.259188,2896.281323,3949.952099,NA,440.8735779,1708.670746,2888.585387,4077.58647,NA,444.3919089,1735.325279,2933.632719,4017.250183,NA,446.6122948,1744.317473,2922.680151,3994.978384,NA,446.4244461,1720.538595,2807.824201,4043.332231,NA,438.2613798,1715.26922,2789.429858,4024.960368,NA,425.9739572,1719.571972,2820.920304,3972.081535,NA,415.5585629,1673.853188,2842.246433,3940.47097,3989.658244,407.9691889,1656.701157,2859.538619,3820.465342,4006.384007,407.5957145,1718.430302,2867.176045,3467.877053,4066.771453,393.5638543,1729.754081,2823.762764,3394.841082,4158.793266,369.8783852,1705.451857,2744.267361,3519.389856,4273.173929,362.981545,1718.20788,2751.16894,3719.702434,NA,359.8731002,1777.381671,2765.423923,3919.913831,NA,363.857904,2000.944256,2768.726417,3919.913831,NA,8402,477,lisa_02_03_2014_alexandra_1_238,l,118,144,161,188,52,55,57,419,1746,2856,lisa,s1,AG,l,l,Initial,Stressed
121,121,481,481,481,lisa_02_03_2014_alexandra_1_61,l,0.084319461,401.678012,1622.429348,2967.408377,3630.236145,3630.236145,383.5123481,1706.065398,2865.331605,3717.159938,NA,396.8162677,1682.767275,2875.919607,3369.462209,4270.408571,405.4365964,1658.666304,2893.261997,3128.886459,4265.632442,402.2112206,1632.534771,2927.68754,3159.242846,4248.776563,398.9858449,1606.403238,2962.113083,3189.599233,4231.920683,398.7834588,1609.473938,2973.366284,3286.956624,4231.519326,398.8748768,1615.382801,2982.367367,3390.825837,4232.717182,399.8845346,1619.619685,2979.817766,3505.793929,4221.871176,401.678012,1622.429348,2967.408377,3630.236145,4200.744398,403.137026,1622.455375,2958.127234,3754.630193,4179.900578,402.9343734,1608.651854,2964.387715,3878.784937,4160.462533,402.7317207,1594.848334,2970.648196,4002.939682,4141.024488,401.2296678,1569.223244,2963.016143,3906.022636,4181.257556,399.3938317,1540.56149,2951.815448,3752.317825,4236.818628,396.8190271,1526.44646,2944.358647,3695.842407,4258.508363,393.2390759,1532.117912,2941.9943,3771.618612,4234.126239,390.7316747,1547.660418,2941.604885,3545.850131,4277.002705,407.872978,1744.036834,2977.395486,3545.850131,4277.002705,8408,481,lisa_02_03_2014_alexandra_1_61,l,84,204,214,230,44,54,56,403,1653,2948,lisa,s1,AG,l,l,Initial,Stressed
160,160,637,637,637,masa1_02_03_2014_alexandra_1_213,l,0.101465374,310.5199491,1150.055363,2588.418132,3815.502556,3815.502556,335.9906146,1104.874549,2625.540335,3882.523408,NA,312.6141394,1113.131973,2644.208505,3858.863472,NA,307.8307902,1112.64821,2609.138169,3865.957061,NA,305.6145761,1110.95756,2566.648208,3877.296759,NA,309.956616,1144.428735,2575.62524,3838.960349,NA,314.9666063,1181.4811,2589.844124,3795.564486,NA,315.3311406,1175.332863,2598.135878,3781.997228,NA,315.3804205,1166.252906,2606.025399,3770.454227,NA,310.5199491,1150.055363,2588.418132,3815.502556,NA,305.483164,1133.602222,2569.895251,3862.583131,NA,303.1917733,1125.43574,2602.474132,3720.91153,NA,300.9503785,1117.641887,2634.627754,3584.172266,NA,300.1479752,1123.567034,2636.23264,3702.41558,NA,299.1906605,1129.15652,2634.455584,3813.730801,NA,295.4084258,1128.624978,2571.006351,3798.707256,NA,297.8388872,1127.405946,2520.097748,3798.039129,NA,370.8791165,1118.373319,2611.718411,4097.316588,NA,444.9410506,1115.22425,2687.077034,4097.316588,NA,8642,637,masa1_02_03_2014_alexandra_1_213,l,101,156,159,170,50,50,52,359,1145,2613,masa1,s1,AG,l,l,Initial,Unstressed
161,161,641,641,641,masa1_02_03_2014_alexandra_1_36,l,0.092091452,280.9862372,1009.696723,2614.767978,3768.779437,3768.779437,278.80312,1077.398073,2415.343673,3736.571263,NA,280.5044756,1024.109036,2519.602191,3739.870657,NA,282.2058313,970.8199982,2623.86071,3743.170051,NA,277.2725237,983.5175012,2624.735524,3736.353698,NA,271.1085575,1008.454798,2606.433772,3727.660982,NA,269.5105612,1024.059176,2602.4595,3747.969678,NA,270.1434247,1035.10364,2605.485404,3782.447998,NA,273.9687571,1030.315625,2609.588266,3789.383661,NA,280.9862372,1009.696723,2614.767978,3768.779437,NA,286.9994586,973.9426522,2608.44945,3753.612153,NA,290.9577015,907.218024,2578.602484,3749.570283,NA,293.2330088,853.4709416,2550.148886,3744.181347,NA,286.4388176,869.6610734,2529.204278,3731.53294,NA,279.6446265,885.8512052,2508.259669,3718.884533,NA,275.480472,934.1208144,2558.35711,3730.68857,NA,271.3570128,982.8867982,2609.553803,3742.870965,NA,278.0099072,1011.855816,2587.552172,3761.583787,NA,287.1413606,1036.271537,2548.714941,3761.583787,NA,8648,641,masa1_02_03_2014_alexandra_1_36,l,92,204,221,233,55,55,56,302,1014,2612,masa1,s1,AG,l,l,Initial,Unstressed
