,X.1,X,AA,Segment,duration,intensity,cog,sdev,skew,kurt,Speaker,keyword,Variety,Stress
321,321,321,321,l,82.46068094,52.51855755,562.5207838,611.1170936,15.48622788,353.6004053,S1,lasa1,AG,Unstressed
322,322,322,322,l,96.73462932,51.74915993,598.1708326,786.6969895,15.36891909,301.0864213,S1,lasa1,AG,Unstressed
361,361,361,361,l,95.1321917,52.6823343,562.454679,324.6107973,23.34790899,964.7290291,S1,lasa,AG,Stressed
362,362,362,362,l,102.7484986,53.21910369,466.379452,352.4744614,23.01526368,897.6216765,S1,lasa,AG,Stressed
401,401,401,401,l,84.51785957,47.50498133,646.2356149,671.6253801,8.454365902,140.1677751,S1,lisa1,AG,Unstressed
402,402,402,402,l,97.54604294,47.75720287,574.0649996,755.1906488,17.06559004,353.4433113,S1,lisa1,AG,Unstressed
440,440,440,440,l,94.61415057,53.46834685,476.1476621,240.7045665,11.25858852,259.2468018,S1,lisa,AG,Stressed
441,441,441,441,l,67.45556867,52.38429216,800.2056094,975.4239792,7.041578375,85.79083441,S1,lisa,AG,Stressed
480,480,480,480,l,81.17229911,45.01954049,534.8784136,781.6242037,15.31812606,304.2050416,S1,masa1,AG,Unstressed
481,481,481,481,l,73.67316183,44.49589268,650.1119281,1013.477035,12.45361338,189.4120704,S1,masa1,AG,Unstressed
482,482,482,482,l,83.32575758,53.99381035,627.4390219,546.5946302,17.9657045,468.3204371,S1,sala1,AG,Stressed
483,483,483,483,l,89.07672766,54.38043781,516.1052984,430.2343288,15.13840709,431.9843696,S1,sala1,AG,Stressed
522,522,522,522,l,75.08388256,52.81390921,555.4266282,697.4928279,17.63197238,392.7999032,S1,sala,AG,Stressed
523,523,523,523,l,90.42295873,51.63257912,484.4780522,274.3650341,34.85862415,1782.741053,S1,sala,AG,Stressed
561,561,561,561,l,90.11126976,51.19663142,633.6959957,550.6943248,14.07775319,344.5173402,S1,sali1,AG,Stressed
562,562,562,562,l,79.70196806,46.9861004,606.6803449,475.6144836,11.17367672,257.1963127,S1,sali1,AG,Stressed
600,600,600,600,l,71.76576426,51.27599647,533.4534403,352.6744442,15.54303922,487.7240603,S1,sali,AG,Stressed
601,601,601,601,l,70.57434006,51.10201386,550.9467292,402.423194,28.69380207,1094.224151,S1,sali,AG,Stressed
639,639,639,639,n,50.73235308,49.19875015,539.8157217,620.9133584,20.6205958,521.4107636,S1,sana,AG,Stressed
640,640,640,640,n,73.83712669,51.14800882,506.349507,372.1841023,23.95331859,940.6170733,S1,sana,AG,Stressed
1006,1006,1006,1006,m,114.6744667,48.73607756,521.7657804,477.3191046,20.76333587,643.4725327,S1,masa,AG,Stressed
1007,1007,1007,1007,m,88.79445445,50.67149246,427.0415038,332.6185224,36.57977895,1734.97455,S1,masa,AG,Stressed
1046,1046,1046,1046,m,79.93264445,47.30974517,452.7504539,528.6766455,23.6936254,702.4048264,S1,misa1,AG,Unstressed
1047,1047,1047,1047,m,101.4809511,49.41450574,564.8992212,537.8580649,15.54901491,336.9543687,S1,misa1,AG,Unstressed
1086,1086,1086,1086,m,92.9167392,50.92644823,425.7732558,279.3855808,36.62815796,1964.24447,S1,misa,AG,Stressed
1087,1087,1087,1087,m,106.1653656,46.58578541,513.4790184,244.9128429,33.18525894,1890.35377,S1,misa,AG,Stressed
1126,1126,1126,1126,m,69.90799744,43.58221712,665.9882455,705.5178563,17.09362124,370.7353465,S1,nasa1,AG,Unstressed
1127,1127,1127,1127,m,75.60115361,46.41957205,567.7377703,528.7296889,20.38577889,590.4381963,S1,sama1,AG,Stressed
1128,1128,1128,1128,m,76.27758498,50.09895357,471.1195823,374.4547651,24.89303605,1008.331316,S1,sama1,AG,Stressed
1167,1167,1167,1167,m,60.00344192,46.32644441,660.5722918,636.3219098,18.53389668,449.9630781,S1,sama,AG,Stressed
1168,1168,1168,1168,m,53.80282099,39.3647356,906.7299773,793.9809257,10.48597551,187.8749872,S1,sama,AG,Stressed
1207,1207,1207,1207,m,77.86918822,47.99468254,528.5531119,510.0513778,22.84494197,692.7125725,S1,sami1,AG,Stressed
1208,1208,1208,1208,m,72.42457882,47.02942499,532.136351,418.777782,28.35556673,1048.746769,S1,sami1,AG,Stressed
1246,1246,1246,1246,m,49.39275369,52.0130534,596.0595724,691.7111981,16.53374633,368.8079076,S1,sami,AG,Stressed
1247,1247,1247,1247,m,61.54199171,47.81377221,508.6453519,413.9511547,29.23466352,1100.957412,S1,sami,AG,Stressed
1286,1286,1286,1286,n,75.08388256,49.54853442,545.4075487,479.165197,21.62244576,685.8664836,S1,sana1,AG,Stressed
1287,1287,1287,1287,n,68.47209746,51.74047351,506.776139,601.3695297,20.37191415,526.5404892,S1,sana1,AG,Stressed
1613,1613,1613,1613,n,73.04379961,49.40598586,570.4115569,677.0611051,18.37277735,420.8769648,S1,nasa1,AG,Unstressed
1652,1652,1652,1652,n,75.88751476,49.4396711,438.7361537,256.6601199,37.74201001,2234.296304,S1,nasa,AG,Stressed
1653,1653,1653,1653,n,79.93264445,53.5816982,526.3967342,680.8359763,17.61025635,399.0401521,S1,nasa,AG,Stressed
1692,1692,1692,1692,n,69.90799744,46.59500097,547.0754959,345.4644493,34.3083713,1519.472031,S1,nisa1,AG,Unstressed
1693,1693,1693,1693,n,93.29700344,47.85422154,624.2134557,848.537436,14.9388496,270.6021345,S1,nisa1,AG,Unstressed
1732,1732,1732,1732,n,98.86870115,52.86058408,427.9571264,336.1270891,35.0169841,1621.563368,S1,nisa,AG,Stressed
1733,1733,1733,1733,n,91.71532466,49.71863244,549.0417679,418.5118314,30.07611499,1097.696656,S1,nisa,AG,Stressed
1836,1836,1836,1836,n,88.40029628,48.44376476,609.0778412,892.9186491,13.22399124,221.8665399,S1,sani1,AG,Stressed
1837,1837,1837,1837,n,76.73645665,46.37020557,617.6532422,546.7660936,19.9469867,534.7051324,S1,sani1,AG,Stressed
1875,1875,1875,1875,n,58.72138476,53.62779006,540.1830782,175.3781541,62.92810894,5462.436898,S1,sani,AG,Stressed
1876,1876,1876,1876,n,69.63264148,48.7760049,552.327779,629.7657728,19.35222969,471.9201633,S1,sani,AG,Stressed
2226,2226,2226,2226,r,23.22367373,40.7041038,1724.174645,1896.791396,4.099812866,24.16369009,S1,rasa1,AG,Unstressed
